Parola	Categoria
cane	Animali
gatto	Animali
leone	Animali
elefante	Animali
delfino	Animali
aquila	Animali
tigre	Animali
orso	Animali
coniglio	Animali
cavallo	Animali
gallina	Animali
mucca	Animali
pecora	Animali
capra	Animali
lupo	Animali
volpe	Animali
scoiattolo	Animali
topo	Animali
serpente	Animali
coccodrillo	Animali
giraffa	Animali
zebra	Animali
canguro	Animali
koala	Animali
renna	Animali
gufo	Animali
pinguino	Animali
tartaruga	Animali
balena	Animali
squalo	Animali
pizza	Cucina italiana
pasta	Cucina italiana
risotto	Cucina italiana
tiramisù	Cucina italiana
lasagne	Cucina italiana
gelato	Cucina italiana
espresso	Cucina italiana
parmigiano	Cucina italiana
focaccia	Cucina italiana
tortellini	Cucina italiana
cappuccino	Cucina italiana
prosciutto	Cucina italiana
mozzarella	Cucina italiana
ravioli	Cucina italiana
bruschetta	Cucina italiana
minestrone	Cucina italiana
polenta	Cucina italiana
panettone	Cucina italiana
cannoli	Cucina italiana
arancini	Cucina italiana
carbonara	Cucina italiana
bolognese	Cucina italiana
caprese	Cucina italiana
panna cotta	Cucina italiana
grissini	Cucina italiana
mortadella	Cucina italiana
pecorino	Cucina italiana
gnocchi	Cucina italiana
ribollita	Cucina italiana
limoncello	Cucina italiana
investimento	Finanza
bilancio	Finanza
fatturato	Finanza
dividendo	Finanza
mutuo	Finanza
borsa	Finanza
bonifico	Finanza
profitto	Finanza
budget	Finanza
tassazione	Finanza
obbligazione	Finanza
patrimonio	Finanza
capitale	Finanza
credito	Finanza
debito	Finanza
tasso d'interesse	Finanza
liquidità	Finanza
contabilità	Finanza
fatturazione	Finanza
assicurazione	Finanza
fondo pensione	Finanza
risparmio	Finanza
prestito	Finanza
ricavo	Finanza
costo	Finanza
imposta	Finanza
fattura	Finanza
contanti	Finanza
plusvalenza	Finanza
flusso di cassa	Finanza
calcio	Sport
tennis	Sport
pallacanestro	Sport
nuoto	Sport
ciclismo	Sport
maratona	Sport
arbitro	Sport
campionato	Sport
allenamento	Sport
squadra	Sport
pallavolo	Sport
rugby	Sport
golf	Sport
scherma	Sport
atletica	Sport
pugilato	Sport
pattinaggio	Sport
canottaggio	Sport
vela	Sport
pallanuoto	Sport
hockey	Sport
judo	Sport
karate	Sport
arrampicata	Sport
triathlon	Sport
podismo	Sport
pallamano	Sport
badminton	Sport
skateboard	Sport
surf	Sport
software	Tecnologia
algoritmo	Tecnologia
server	Tecnologia
database	Tecnologia
cloud	Tecnologia
intelligenza artificiale	Tecnologia
rete	Tecnologia
cybersicurezza	Tecnologia
hardware	Tecnologia
blockchain	Tecnologia
smartphone	Tecnologia
app	Tecnologia
browser	Tecnologia
firewall	Tecnologia
crittografia	Tecnologia
streaming	Tecnologia
router	Tecnologia
processore	Tecnologia
wifi	Tecnologia
chip	Tecnologia
robotica	Tecnologia
automazione	Tecnologia
programmazione	Tecnologia
big data	Tecnologia
machine learning	Tecnologia
chatbot	Tecnologia
interfaccia	Tecnologia
API	Tecnologia
GPU	Tecnologia
open source	Tecnologia
